xs,ys
-4297806.3106310675,6.629331975247416e-08
-4297736.303630368,7.210807524164566e-08
-4297666.296629667,7.81694137318561e-08
-4297596.289628968,8.447756405527718e-08
-4297526.282628267,9.103275064363745e-08
-4297456.275627567,9.783519351928747e-08
-4297386.268626867,1.0488510828774671e-07
-4297316.261626167,1.121827061288923e-07
-4297246.254625467,1.1972819378965143e-07
-4297176.247624767,1.2752177357533915e-07
-4297106.240624067,1.3556364334244193e-07
-4297036.233623367,1.4385399649055976e-07
-4296966.226622667,1.5239302195433395e-07
-4296896.219621967,1.6118090419657656e-07
-4296826.212621267,1.7021782319983806e-07
-4296756.205620566,1.7950395445981407e-07
-4296686.198619867,1.890394689769762e-07
-4296616.191619166,1.9882453325024986e-07
-4296546.1846184665,2.0885930926870862e-07
-4296476.177617766,2.191439545054599e-07
-4296406.170617066,2.2967862190947206e-07
-4296336.163616366,2.404634598996283e-07
-4296266.156615666,2.5149861235665417e-07
-4296196.1496149665,2.6278421861727555e-07
-4296126.142614266,2.7432041346696127e-07
-4296056.135613566,2.8610732713277295e-07
-4295986.128612866,2.981450852778002e-07
-4295916.121612166,3.1043380899335773e-07
-4295846.1146114655,3.22973614793771e-07
-4295776.107610766,3.35764614608666e-07
-4295706.100610065,3.4880691577801717e-07
-4295636.093609366,3.6210062104450276e-07
-4295566.086608665,3.7564582854876545e-07
-4295496.079607965,3.8944263182192614e-07
-4295426.072607265,4.034911197809616e-07
-4295356.065606565,4.177913767213775e-07
-4295286.058605866,4.323434823126562e-07
-4295216.051605165,4.4714751159193135e-07
-4295146.044604465,4.622035349577452e-07
-4295076.037603765,4.775116181657477e-07
-4295006.030603065,4.930718223216977e-07
-4294936.023602365,5.088842038775726e-07
-4294866.016601665,5.249488146245675e-07
-4294796.009600964,5.412657016895328e-07
-4294726.002600265,5.578349075280862e-07
-4294655.995599564,5.746564699211621e-07
-4294585.9885988645,5.917304219682993e-07
-4294515.981598164,6.090567920844751e-07
-4294445.974597464,6.266356039933837e-07
-4294375.967596764,6.444668767245442e-07
-4294305.960596064,6.625506246067301e-07
-4294235.9535953645,6.808868572649756e-07
-4294165.946594664,6.99475579615382e-07
-4294095.939593964,7.183167918598762e-07
-4294025.932593264,7.374104894836405e-07
-4293955.925592564,7.567566632487782e-07
-4293885.9185918635,7.763552991921373e-07
-4293815.911591164,7.962063786192274e-07
-4293745.904590463,8.163098781021877e-07
-4293675.897589764,8.366657694737404e-07
-4293605.890589063,8.572740198255221e-07
-4293535.883588363,8.781345915020721e-07
-4293465.876587663,8.992474420993878e-07
-4293395.869586963,9.206125244590955e-07
-4293325.862586264,9.422297866668627e-07
-4293255.855585563,9.640991720481074e-07
-4293185.848584863,9.862206191638176e-07
-4293115.841584163,1.0085940618093064e-06
-4293045.834583463,1.031219429008693e-06
-4292975.827582763,1.0540966450141558e-06
-4292905.820582063,1.0772256293005103e-06
-4292835.813581362,1.1006062965647798e-06
-4292765.806580663,1.1242385567208181e-06
-4292695.799579962,1.148122314899107e-06
-4292625.7925792625,1.1722574714415902e-06
-4292555.785578562,1.196643921901527e-06
-4292485.778577862,1.2212815570385419e-06
-4292415.771577163,1.2461702628184553e-06
-4292345.764576462,1.2713099204099972e-06
-4292275.757575762,1.2967004061815232e-06
-4292205.750575062,1.3223415917012743e-06
-4292135.743574362,1.3482333437326113e-06
-4292065.736573662,1.3743755242347385e-06
-4291995.729572962,1.4007679903580573e-06
-4291925.7225722615,1.427410594445222e-06
-4291855.715571562,1.4543031840265542e-06
-4291785.708570861,1.4814456018212387e-06
-4291715.701570162,1.5088376857330573e-06
-4291645.694569461,1.536479268851704e-06
-4291575.687568761,1.5643701794485289e-06
-4291505.680568062,1.5925102409778992e-06
-4291435.673567361,1.6208992720748905e-06
-4291365.666566662,1.6495370865530135e-06
-4291295.659565961,1.67842349340592e-06
-4291225.652565261,1.7075582968034403e-06
-4291155.645564561,1.7369412960937847e-06
-4291085.638563861,1.7665722857997267e-06
-4291015.631563161,1.796451055621032e-06
